,Datetime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
24,2011-04-14,23170.9,21958.9,21210.3,20946.1,20541.1,20664.7,20521.1,21016.8,22686.7,23928.7,24748.9,25113.6,24948.2,24350.9,23871.3,23936.9,23311.5,23133.2,23125.9,24016.5,25980.3,25632.1,24764.9,23936.7
25,2011-04-15,22955.5,22040.9,21071.1,20622.5,20576.4,20067.9,19652.3,19176.0,20043.9,20866.8,21626.3,22307.7,22176.5,22007.3,21690.7,21564.9,21405.0,21459.1,21293.9,22566.2,24776.4,24802.1,24394.9,23518.4
26,2011-04-16,22290.0,21073.6,20515.4,20142.6,19829.9,20090.0,20143.0,21227.4,22855.1,24129.2,24968.5,25341.5,25458.5,25128.6,24914.2,24798.2,24639.9,24396.8,24033.6,24959.0,27054.5,26917.9,25778.5,24762.9
27,2011-04-17,23663.5,22720.0,21743.1,21360.2,21088.4,21124.0,20979.4,21736.9,23218.8,24476.7,25191.5,25903.8,25795.0,25249.9,25627.7,25506.4,25244.2,24859.0,24188.1,25143.7,27281.8,27103.8,26351.9,25380.4
28,2011-04-18,23968.4,22809.5,22042.2,21734.6,21466.5,21555.6,21206.7,22064.1,23591.9,24875.5,25369.1,25736.4,25978.9,26134.5,26299.8,25954.1,25807.2,25358.8,24815.4,25637.0,27810.5,27557.7,26661.3,26083.3
29,2011-04-19,24584.2,23676.8,22814.9,22457.1,21970.0,21994.3,21704.2,22281.1,23999.8,25159.7,26042.2,26401.9,26688.7,26350.1,26495.0,26526.1,26014.8,25721.4,25061.2,25824.8,27809.2,27955.4,27157.9,26444.3
30,2011-04-20,25117.0,24000.4,23141.4,22664.5,22272.0,22264.2,21876.9,22473.6,24254.7,25316.7,26129.5,26643.1,27108.6,26616.2,26912.7,26824.3,26614.8,26187.7,25583.1,26150.6,28017.4,27444.4,26763.7,26099.5
31,2011-04-21,24768.1,23663.5,22969.9,22188.1,22083.4,22242.8,21830.6,22303.4,23940.3,25051.8,25757.5,26360.8,26381.2,25888.9,26377.1,26041.3,25672.0,25183.4,24696.2,25355.6,27138.9,26905.6,26477.4,26083.2
32,2011-04-22,25128.2,23992.3,23220.5,22651.2,22335.2,22033.1,21082.7,20799.8,21312.2,22159.5,22990.8,23701.4,24100.7,24073.2,23931.3,23744.2,23457.8,23243.0,23016.7,24189.7,26180.9,26031.6,25650.7,24817.8
33,2011-04-23,23486.8,22648.4,21793.2,21392.4,21282.9,21354.7,21148.9,22021.9,23963.5,25245.6,25947.0,26962.1,27248.5,27127.9,27525.3,27527.6,27022.0,26297.5,25627.4,26255.2,28216.0,28224.8,27709.3,27095.1
34,2011-04-24,25776.8,24691.2,23785.6,23185.5,23017.3,22812.1,22328.8,22789.7,24517.5,25504.2,26113.8,26848.6,26780.7,26698.9,26943.4,26860.1,26260.3,25766.4,25006.4,25695.5,27942.0,27881.5,27272.9,26634.7
35,2011-04-25,25277.7,24181.3,23339.4,23064.6,22856.0,22401.6,22093.3,22643.7,24114.3,24868.4,25747.7,26321.7,26348.5,26190.7,26481.7,26380.2,26030.8,25580.3,25088.1,25706.0,27846.0,27570.0,26954.0,26145.7
36,2011-04-26,24958.9,24034.4,23241.9,22924.5,22439.4,22484.6,22047.4,22846.5,24231.7,25510.4,26207.7,26990.2,27069.5,26994.1,27278.6,27317.4,26819.3,26508.7,26042.5,26328.9,28260.0,28142.5,27296.5,26730.2
37,2011-04-27,25632.1,24418.7,23591.6,23108.1,22869.9,22673.4,22126.3,22631.5,24190.2,25382.5,25763.9,26189.2,26416.5,26869.2,27277.8,27089.4,26775.6,26171.1,25476.6,25626.0,27719.9,27739.9,27063.2,26778.0
38,2011-04-28,25701.0,24326.1,23479.9,22993.1,22628.5,22400.4,21832.5,22352.6,24011.6,25043.7,25617.4,26003.3,26360.3,26378.8,26567.0,25894.0,25456.3,24871.5,24441.7,24503.3,26900.0,27084.5,26704.4,26118.4
39,2011-04-29,25313.4,24034.7,23354.6,22833.1,22548.1,22117.7,21100.5,20629.3,21568.4,22191.7,23324.2,23379.9,23877.2,24042.6,24455.5,24312.9,23979.1,23592.7,22950.5,23767.6,26220.9,26738.1,26578.5,25994.0
40,2011-04-30,24842.8,24107.2,23326.9,23003.0,22649.0,22382.7,22180.0,22794.0,24776.8,25835.8,26631.0,27130.5,27602.9,27402.7,27706.9,27707.5,27325.8,26551.4,25748.4,26266.1,27913.4,28035.7,27229.0,26480.7
41,2011-05-01,25163.6,24286.9,23455.9,23110.8,22977.1,22854.2,22072.1,22648.9,24277.3,25610.5,26296.3,26773.9,27298.7,27368.4,27263.1,26842.3,26729.1,26070.0,25536.7,25755.2,27716.8,27876.0,27353.7,26729.9
42,2011-05-02,25365.1,24088.2,23465.3,23223.4,22767.3,22687.1,22211.2,22894.2,24713.3,25771.9,26692.1,27185.8,27712.9,27418.9,27840.8,27743.8,27241.2,26761.1,25787.5,25793.1,28313.8,28316.7,27681.0,27045.9
43,2011-05-03,25651.9,24682.7,23904.9,23553.3,23248.1,22909.7,22444.4,23115.2,24875.7,25896.1,26789.4,27392.7,27685.7,27635.1,28050.7,27803.5,27345.9,26706.4,26021.7,26078.9,28314.7,28332.5,27976.3,27391.3
44,2011-05-04,26012.4,24900.0,24214.0,23704.7,23510.2,23221.9,22495.3,23210.6,24869.8,25992.5,26617.1,27134.6,27142.1,27233.6,27763.1,27387.8,27147.6,26387.7,25725.9,25624.4,27714.7,28438.8,27738.3,27289.3
45,2011-05-05,26171.6,25068.7,24281.3,23773.0,23514.6,23085.8,22435.5,23160.8,24448.8,25739.6,26221.0,27052.8,27231.4,26760.5,27158.5,27096.5,26306.6,25690.6,24514.3,25124.9,27537.1,27999.6,27616.2,27183.3
46,2011-05-06,26496.2,25191.0,24493.4,24020.2,23587.4,23061.4,21630.9,21485.3,22126.1,22966.0,24092.1,24665.1,24977.9,25389.8,25675.4,25509.3,25186.1,24344.6,23519.8,23970.2,26231.1,27206.8,27026.3,26879.5
47,2011-05-07,26009.8,24859.5,24031.2,23335.2,23054.6,22520.0,21737.5,21597.0,22349.5,23544.6,24240.5,24949.7,25550.2,25618.5,25826.9,25815.3,25316.1,24810.2,24178.6,24500.0,27114.2,27459.1,27580.4,27225.6
48,2011-05-08,26223.3,24879.5,24094.0,23790.8,23427.3,23338.3,22702.4,23731.4,25489.7,26735.8,27589.6,28434.4,28966.2,29093.4,29494.8,29705.1,29036.5,28114.5,26984.8,26794.0,29188.2,29911.1,29093.9,28635.4
49,2011-05-09,27450.0,26132.7,25419.0,24810.2,24489.8,23912.4,23402.8,24104.7,25539.4,26763.9,27455.9,28380.1,28896.0,29028.2,29333.8,29301.7,28835.8,27822.6,26856.9,26392.2,28849.2,29240.3,29074.1,28340.9
50,2011-05-10,27143.1,26176.8,25325.9,24916.0,24548.7,24234.9,23199.8,24208.4,25940.9,27175.0,27796.7,28869.9,29369.7,29367.6,29980.3,29693.6,29515.1,28240.4,27007.2,26787.5,29231.8,29993.2,29632.0,29211.1
51,2011-05-11,27812.3,26751.2,25956.8,25519.0,25183.8,24733.8,23913.8,24693.3,26377.2,27480.0,28073.7,29037.6,29608.4,29711.0,30482.2,30345.7,30148.0,29115.4,27713.1,27500.9,29957.0,30841.6,30335.5,29762.0
52,2011-05-12,28461.3,27244.0,26267.4,25760.4,25550.4,25072.4,23953.9,24677.6,26070.5,27604.6,28490.2,29359.5,29848.1,30064.3,30326.5,30013.5,29396.8,28260.0,27020.6,26653.1,29102.7,30338.6,29769.8,29400.7
53,2011-05-13,28347.3,27452.2,26547.6,25997.4,25755.4,25080.6,23478.6,23176.4,23845.4,24762.9,25731.9,26753.0,27604.0,27935.4,28180.6,28069.9,27554.7,26586.9,25547.9,25351.5,28305.4,29293.7,29424.7,28817.8
54,2011-05-14,27712.3,26537.1,25947.8,25410.8,25108.3,24838.9,24017.0,25167.6,26856.2,28241.1,29096.3,30401.4,30952.3,30813.4,31671.8,31318.2,31159.7,29681.4,28257.2,28181.0,30339.7,31131.6,30442.8,29841.4
55,2011-05-15,28411.4,27175.3,26568.1,26040.5,25803.5,25394.5,24700.3,25437.8,27369.8,28420.8,29111.6,30029.1,30658.3,30681.9,31251.7,30951.9,30446.2,29178.7,28178.3,27654.4,30120.7,30636.5,30298.8,29475.5
56,2011-05-16,28307.0,27076.4,26339.5,25869.0,25330.8,25088.0,24235.7,25109.6,26830.9,28185.5,29260.9,30185.0,30681.0,30976.2,31546.0,31353.8,30907.4,29691.3,28386.8,28186.5,30249.6,30974.5,30591.3,30039.3
57,2011-05-17,28790.4,27702.2,26788.7,26322.7,25998.9,25487.4,24545.2,25466.3,27235.2,28237.5,29294.0,30154.1,30850.6,30622.4,31018.5,30988.7,30621.6,29444.2,28197.5,27919.8,30234.2,30893.1,30721.5,29993.0
58,2011-05-18,28976.8,27877.8,26809.4,26417.0,25832.2,25591.1,24569.4,25591.3,27191.6,28426.9,29713.7,30584.8,31332.0,31536.0,32047.5,31796.1,31677.0,30436.7,29085.4,28548.5,30897.3,31751.7,31150.1,30849.3
59,2011-05-19,29361.8,28110.0,27287.0,26692.2,26162.2,25321.0,24328.7,25572.2,27287.7,28508.3,29926.1,30750.7,31861.7,31862.4,31853.2,31737.2,31199.8,30181.2,28712.4,28040.1,30262.4,30572.7,30413.2,30197.6
60,2011-05-20,29351.1,28217.8,27472.0,26776.2,26343.5,25723.1,24077.2,24179.2,24825.1,25732.2,27091.2,28068.6,29104.1,29509.5,29195.1,29368.3,29101.3,28128.9,26973.4,26508.6,29334.2,30885.0,30809.8,30537.0
61,2011-05-21,29160.3,27857.1,27051.0,26606.0,26327.6,25735.9,24811.5,26209.5,27987.0,29778.1,30893.8,32163.2,33019.9,33157.5,33824.5,33403.5,33094.4,31794.8,29911.0,29000.3,31567.9,32730.9,32288.1,31680.1
62,2011-05-22,30026.5,28301.4,27544.5,27083.8,26976.9,26414.5,25435.5,26569.9,28483.6,29721.6,30819.8,31725.4,32842.0,33223.0,33756.6,33639.1,33040.2,31851.8,30032.1,29021.1,31309.8,32771.6,32111.2,31912.5
63,2011-05-23,29922.5,28779.5,27942.5,27235.3,27011.5,26424.7,25489.9,26483.7,28359.2,29800.4,31069.1,31938.7,33064.9,33349.1,33810.2,33750.0,33332.7,31951.2,30130.2,29117.9,31223.3,32498.1,32138.7,31491.2
64,2011-05-24,30393.3,28792.9,27950.6,27332.0,26962.3,26380.5,25408.3,26411.7,28251.0,29487.9,30150.8,31390.9,31968.7,32397.4,32865.2,32779.1,32397.8,31202.6,29581.6,28384.8,30581.9,31822.5,31284.3,31114.9
65,2011-05-25,29809.5,28722.9,27820.0,27252.6,26863.3,26163.9,25256.7,26069.4,28054.7,29172.8,30075.0,31190.4,32117.8,32423.4,33014.5,32920.1,32535.3,31085.3,29554.0,28266.1,30499.3,31690.6,31164.8,30536.6
66,2011-05-26,29327.0,28406.7,27444.5,26849.9,26464.3,25857.6,24750.1,25809.7,27444.2,28971.2,29986.3,30652.8,31649.8,31544.0,31914.2,31621.2,30987.2,29961.2,28337.3,27527.7,29658.4,31021.9,30521.3,30408.6
